occ2_tgt3_hid0_seed89_stack_uc0_semantic | goal=stack seed=89 | placed green_object@free_001 line=130 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
occ2_tgt3_hid0_seed89_stack_uc0_semantic_mbs0.05 | goal=stack seed=89 | placed green_object@free_005 line=131 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
occ2_tgt3_hid0_seed89_stack_uc0_semantic_mbs0.09 | goal=stack seed=89 | placed green_object@free_001 line=131 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
occ2_tgt3_hid0_seed89_stack_uc0_semantic_mbs0.1 | goal=stack seed=89 | placed green_object@free_001 line=130 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
occ2_tgt3_hid0_seed89_stack_uc0_semantic_mbs0.12 | goal=stack seed=89 | placed green_object@free_001 line=130 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=1654615998 | placed green_object@free_079 line=832 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=1654615998 | placed red_object@free_099 line=927 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=1654615998 | placed red_object@free_009 line=226 -> reblocks ['shadow_of_green_object', 'shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=1654615998 | placed green_object@free_004 line=224 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=1654615998 | placed blue_object@free_026 line=416 -> reblocks ['shadow_017'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=1654615998 | placed red_object@free_028 line=505 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
